term,abbreviation
tomorrow,"2moro,2MOR"
tonight,"2nite,2NTE"
hate,h8
love,"luv,<3"
be right back,BRB
face to face,F2F
in real life,IRL
later,L8R
no comment,NC
no problem,NP
on my way,OMW
cutie,QT
your,UR
you are,UR
wait,W8
wish you were here,WYWH
question,?
too easy,2EZ
too good to be true,2G2BT
foreighner,4NR
sexy,6Y
sick,7K
as a matter of fact,AAMOF
as far as I know,AFAIK
away from keyboard,AFK
laughing out loud,LOL
all the best,ATB
at the moment,ATM
be,b
to be,2 be
back to work,B2W
for,4
for you,"4u,4 u"
I love you,"I<3u,luv ya"
because,"bcoz,coz,cos"
web camera,cam
see you later,cul
the,da
deviate,dv8
easy,"ec,ez"
example,eg
I don't know,idk
in my opinion,imo
okay,"k,ok"
late,l8
and,n
nice one,n1
oh my good,omg
people,ppl
something,smth
anything,anth
thanks,"ta,thanx"
thank you,"ta,thanx"
whatever,"woteva,whteva"
sleep,zzzz
